chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
,,73426,0,0,-5,5,0,4,-0.3,0.2,1,Andre,0.2,364,False,,,55,73426.jpg,1.8,Gray,0.4,False,,a,18,57,36,40727,40,74876,41,0.0,6.5,Gray,712,2,1,0,17,0,0,0,1,0,0,2,111,106.2,123.9,281.0,50.2
100,100,173514,0,0,-3,3,0,4,-0.5,0.0,0,Isaac,0.0,365,False,,2019-09-19T17:00:11.798096Z,47,173514.jpg,0.8,Success Ajayi,0.3,False,,a,18,57,4,20297,27,57053,31,0.0,0.9,Success,65,0,0,0,3,0,0,0,1,0,0,0,8,6.2,13.6,17.0,3.7
,,9089,0,0,-1,1,1,1,2.5,3.0,2,Ben,3.0,366,False,,,49,9089.jpg,3.8,Foster,4.3,False,,a,18,57,111,393706,481,295100,1302,0.6,22.7,Foster,2610,0,0,9,44,0,0,0,1,0,89,15,538,683.8,10.1,17.0,71.3
0,0,206882,0,0,-2,2,0,1,0.0,0.0,0,Pontus,0.0,367,False,Joined FC Emmen on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T20:30:18.862484Z,43,206882.jpg,0.0,Dahlberg,0.1,False,,n,18,57,0,1509,4,6635,12,0.0,0.0,Dahlberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,121599,0,0,-4,4,1,3,4.0,4.5,1,Abdoulaye,4.5,368,False,,2019-12-22T16:30:23.335692Z,56,121599.jpg,3.3,Doucouré,2.9,False,,a,18,57,93,299733,2894,306939,1614,0.8,16.6,Doucouré,2443,4,3,9,42,1,0,0,8,0,0,9,387,464.8,479.8,557.0,150.0
100,100,61566,0,0,-4,4,0,3,1.3,1.8,2,Roberto,1.8,369,False,,2020-01-05T01:00:12.397900Z,56,61566.jpg,2.2,Pereyra,0.7,False,,a,18,57,51,34743,58,245732,91,0.3,9.1,Pereyra,1320,3,0,4,17,0,0,0,3,0,0,0,169,217.6,253.3,287.0,75.7
100,100,108413,0,0,-2,2,0,3,1.5,2.0,2,Will,2.0,370,False,,2019-12-28T17:00:19.675638Z,53,108413.jpg,2.4,Hughes,0.3,False,,a,18,57,50,63665,14,70055,13,0.4,9.4,Hughes,1507,1,1,5,27,0,0,0,4,0,0,3,177,236.4,221.4,195.0,65.2
100,100,43250,0,0,-2,2,0,3,-0.3,0.2,0,Tom,0.2,371,False,,2019-10-26T16:30:19.666204Z,48,43250.jpg,2.5,Cleverley,0.1,False,,a,18,57,25,21429,0,26388,9,0.0,5.2,Cleverley,655,1,0,1,17,0,0,0,0,0,0,2,121,122.8,179.5,176.0,47.9
0,0,157775,0,0,-3,3,0,3,0.0,0.0,0,Ken,0.0,372,False,Joined Udinese on loan until the end of the season on 22/8. - Expected back 01 Jul,2019-08-22T10:30:11.423152Z,47,157775.jpg,0.0,Sema,0.0,False,,n,18,57,0,707,2,3128,0,0.0,0.0,Sema,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,38439,0,0,-2,2,0,3,3.0,3.5,1,Etienne,3.5,373,False,,2020-01-03T14:30:19.664140Z,48,38439.jpg,2.6,Capoue,0.4,False,,a,18,57,62,33945,393,69587,132,0.7,12.9,Capoue,2138,0,3,7,40,0,0,0,7,0,0,5,322,409.8,221.9,101.0,73.4
100,100,89085,0,0,-1,1,0,3,-0.3,0.2,0,Nathaniel,0.2,374,False,,2020-02-02T22:30:14.195243Z,44,89085.jpg,1.9,Chalobah,0.2,False,,a,18,57,28,20400,17,25242,42,0.0,6.4,Chalobah,771,0,1,2,10,0,0,0,1,0,0,2,107,130.8,91.9,52.0,27.2
100,100,216058,0,0,-2,2,0,3,-0.5,0.0,0,Domingos,0.0,375,False,,2019-10-29T22:00:19.938793Z,43,216058.jpg,1.0,Quina,0.1,False,,a,18,57,4,7133,119,10365,23,0.0,0.9,Quina,18,0,0,0,2,0,0,0,0,0,0,0,10,7.4,0.8,7.0,1.5
100,100,60232,0,0,-2,2,0,2,-0.3,0.2,0,Craig,0.2,439,False,,2020-02-02T22:30:14.335355Z,48,60232.jpg,1.9,Dawson,0.2,False,,a,18,57,37,10061,16,21042,34,0.0,7.7,Dawson,1549,0,0,4,29,0,0,0,4,0,0,0,231,330.2,32.8,151.0,51.4
100,100,50175,0,0,-2,2,0,4,0.3,0.8,1,Danny,0.8,512,False,,2019-10-19T16:00:16.571131Z,58,50175.jpg,1.2,Welbeck,0.1,False,,a,18,57,11,11689,43,19653,27,0.1,1.9,Welbeck,275,0,0,1,3,0,0,0,0,0,0,0,26,27.4,28.6,72.0,12.7
,,18656,0,0,-1,1,0,1,-0.5,0.0,0,Heurelho da Silva,0.0,513,False,,,44,18656.jpg,0.0,Gomes,0.2,False,,a,18,57,0,5752,25,10190,21,0.0,0.0,Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,232185,0,0,-2,2,2,3,5.0,5.5,2,Ismaïla,5.5,525,False,,2020-01-18T14:30:17.497310Z,63,232185.jpg,4.1,Sarr,2.7,False,,a,18,57,78,317505,6929,152593,2246,0.9,12.4,Sarr,1221,5,4,6,16,0,0,0,1,0,0,5,211,307.4,256.3,492.0,105.6
0,0,96767,0,0,0,0,0,2,0.0,0.0,0,Dimitri,0.0,542,False,Joined Granada on loan until the end of the season on 2/1. - Expected back 01 Jul,2020-01-02T14:30:16.327156Z,40,96767.jpg,0.3,Foulquier,0.1,False,,n,18,57,1,18755,0,16654,28,0.0,0.2,Foulquier,57,0,0,0,6,0,0,0,0,0,0,0,12,8.0,1.0,0.0,1.0
100,100,175353,0,0,0,0,0,3,-0.5,0.0,0,Ayotomiwa,0.0,563,False,,2019-12-31T10:30:25.925374Z,45,175353.jpg,0.0,Dele-Bashiru,0.0,False,,a,18,57,0,982,7,665,7,0.0,0.0,Dele-Bashiru,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,475168,0,0,-1,1,0,4,-0.5,0.0,0,João Pedro,0.0,592,False,,2020-01-23T23:30:23.901314Z,49,475168.jpg,0.0,Junqueira de Jesus,0.0,False,,a,18,57,0,1330,11,967,20,0.0,0.0,João Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,168290,0,0,-3,3,0,3,0.0,0.5,0,Ignacio,0.5,604,False,,,47,168290.jpg,0.8,Pussetto,0.0,False,,a,18,57,5,489,2,359,3,0.1,1.1,Pussetto,56,0,0,0,2,0,0,0,1,0,0,0,17,23.2,0.9,2.0,2.6
100,100,55459,0,0,-4,4,2,2,1.2,0.7,2,Aaron,1.2,376,False,,2020-01-03T17:30:19.587785Z,46,55459.jpg,2.7,Cresswell,1.2,False,,a,19,21,63,290669,178,251127,280,0.3,13.7,Cresswell,2023,3,0,4,40,0,0,0,7,0,0,5,319,427.8,296.5,152.0,87.9
100,100,40669,0,0,0,0,0,2,1.5,1.0,2,Angelo,1.5,377,False,,2020-01-24T15:30:18.149098Z,45,40669.jpg,2.7,Ogbonna,1.1,False,,a,19,21,65,170305,74,126971,254,0.3,14.4,Ogbonna,2160,2,0,6,36,1,0,0,4,0,0,0,354,457.6,21.7,155.0,63.4
100,100,105717,0,0,-3,3,1,2,0.0,-0.5,0,Arthur,0.0,378,False,,2020-01-24T15:30:18.160148Z,42,105717.jpg,1.7,Masuaku,0.4,False,,a,19,21,25,98537,9,104296,68,0.0,6.0,Masuaku,908,0,1,2,18,0,0,0,3,1,0,3,160,233.4,126.2,53.0,41.4
,,20658,0,0,-3,3,0,2,0.2,-0.3,0,Pablo,0.2,379,False,,,42,20658.jpg,1.0,Zabaleta,0.5,False,,a,19,21,10,18066,17,43862,46,0.0,2.4,Zabaleta,588,0,0,0,14,0,0,0,2,0,0,0,90,110.4,50.5,12.0,17.4
0,0,81012,0,0,-1,1,1,2,0.0,0.0,0,Ryan,0.2,380,False,Shoulder injury - Expected back 10 Apr,2020-02-19T22:00:17.389503Z,44,81012.jpg,2.9,Fredericks,0.3,False,,i,19,21,57,127191,0,135414,88,0.0,13.0,Fredericks,1686,0,2,6,30,0,0,0,5,0,0,5,318,352.6,247.2,52.0,65.4
100,100,219924,0,0,-2,2,0,2,2.8,2.3,2,Issa,2.8,381,False,,2019-11-23T14:30:26.684183Z,43,219924.jpg,2.3,Diop,2.1,False,,a,19,21,54,256796,191,371997,178,0.7,12.6,Diop,1955,3,0,3,42,0,0,0,8,0,0,2,307,490.2,30.5,170.0,69.2
,,166640,0,0,-2,2,1,2,0.0,-0.5,0,Fabián,0.0,382,False,,,43,166640.jpg,2.8,Balbuena,0.3,False,,a,19,21,36,39141,5,48208,123,0.0,8.4,Balbuena,1081,1,0,3,22,0,0,0,2,0,0,3,189,248.0,18.2,149.0,41.5
0,0,48717,0,0,0,0,0,2,0.0,0.0,0,Winston,0.0,383,False,Joined Sporting Kansas City on loan on 14/2. - Unknown return date,2020-02-16T00:00:20.203533Z,40,48717.jpg,0.0,Reid,4.4,False,,n,19,21,0,361594,2,398601,1261,0.0,0.0,Reid,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,222018,0,0,-1,1,0,2,0.0,-0.5,0,Ben,0.0,384,False,,,39,222018.jpg,0.0,Johnson,2.5,False,,a,19,21,0,179440,1685,109868,773,0.0,0.0,Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,41464,0,0,0,0,0,4,0.0,0.0,0,Marko,0.0,385,False,Joined Shanghai SIPG on a permanent deal on 7/7,2019-07-23T08:30:10.476392Z,70,41464.jpg,0.0,Arnautovic,0.1,False,,u,19,21,0,1322,3,7704,2,0.0,0.0,Arnautovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,43020,0,0,0,0,1,4,0.0,0.0,0,Javier,0.0,386,False,Joined Sevilla on a permanent deal on 2/9,2019-09-02T10:30:10.993084Z,60,43020.jpg,4.5,Hernández Balcázar,0.3,False,,u,19,21,9,87071,6,142182,8,0.0,1.5,Chicharito,106,1,0,0,4,0,0,0,0,0,0,2,27,35.6,2.2,39.0,7.7
100,100,209925,0,0,-2,2,0,4,0.0,-0.5,0,Alexandre Nascimento,0.0,387,False,,2019-08-16T18:30:15.371373Z,43,209925.jpg,0.0,Costa Silva,0.9,False,,a,19,21,0,77964,289,163407,111,0.0,0.0,Xande Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,37096,0,0,-1,1,3,1,2.0,1.5,2,Lukasz,2.0,388,False,,2020-01-10T22:00:14.825605Z,49,37096.jpg,3.7,Fabianski,2.0,False,,a,19,21,59,329988,130,537159,144,0.4,12.0,Fabianski,1307,0,0,4,22,0,1,0,1,0,46,5,277,343.2,0.0,0.0,34.4
100,100,57531,0,0,-1,1,1,3,4.0,3.5,1,Michail,4.0,389,False,,2020-01-29T23:00:27.350948Z,69,57531.jpg,3.0,Antonio,0.8,False,,a,19,21,45,36637,740,83638,247,0.6,6.5,Antonio,1028,2,3,2,19,0,0,0,1,0,0,1,106,220.0,218.0,546.0,98.4
100,100,101537,0,0,-4,4,0,3,1.0,0.5,1,Felipe Anderson,1.0,390,False,,2020-01-16T13:30:25.243030Z,66,101537.jpg,2.8,Pereira Gomes,2.6,False,,a,19,21,61,180907,92,560299,151,0.2,9.2,Felipe Anderson,1405,1,4,6,26,0,0,0,1,0,0,1,290,371.4,401.2,352.0,112.6
100,100,86934,0,0,-3,3,0,3,0.0,-0.5,0,Manuel,0.0,391,False,,2019-11-09T17:30:13.315891Z,62,86934.jpg,2.4,Lanzini,0.7,False,,a,19,21,45,268229,12,316670,64,0.0,7.3,Lanzini,1182,0,3,2,24,0,0,0,0,0,0,3,221,203.6,422.8,235.0,86.1
0,0,56377,0,0,-8,8,1,3,0.0,0.0,0,Andriy,0.0,392,False,Lack of match fitness - Unknown return date,2019-12-27T16:00:17.899814Z,52,56377.jpg,3.3,Yarmolenko,0.7,False,,i,19,21,49,596580,4,582634,89,0.0,9.4,Yarmolenko,822,3,1,3,14,0,0,0,2,0,0,8,156,188.0,208.4,248.0,64.2
100,100,18987,0,0,-2,2,1,3,2.2,1.7,1,Robert,2.2,393,False,,2020-01-23T20:00:20.325478Z,53,18987.jpg,3.6,Snodgrass,1.9,False,,a,19,21,87,240909,472,129073,2117,0.4,16.4,Snodgrass,1504,5,5,3,33,0,0,0,4,0,0,8,312,422.2,552.1,320.0,129.7
0,0,54102,0,0,-3,3,0,3,0.0,0.0,0,Jack,0.0,394,False,Groin Injury - Unknown return date,2019-11-22T23:30:19.447828Z,47,54102.jpg,1.0,Wilshere,0.2,False,,i,19,21,6,8702,2,34832,12,0.0,1.3,Wilshere,174,0,0,0,4,0,0,0,0,0,0,0,14,5.0,6.5,4.0,1.4
,,204480,0,0,-3,3,0,3,2.5,2.0,2,Declan,2.5,395,False,,,47,204480.jpg,2.3,Rice,1.5,False,,a,19,21,66,113069,289,186232,298,0.5,14.0,Rice,2610,0,2,6,50,0,0,0,5,0,0,1,437,519.8,232.1,171.0,92.3
100,100,18073,0,0,0,0,2,3,1.8,1.3,2,Mark,1.8,396,False,,2020-01-03T17:30:19.655009Z,50,18073.jpg,3.2,Noble,1.3,False,,a,19,21,84,259307,366,199658,547,0.4,16.8,Noble,2139,4,2,6,37,0,0,0,4,0,0,6,389,406.8,292.3,150.0,85.1
,,42824,0,0,-2,2,0,3,0.0,-0.5,0,Carlos,0.0,397,False,,,43,42824.jpg,1.2,Sánchez,0.5,False,,a,19,21,7,48511,161,45571,179,0.0,1.6,Carlos Sánchez,112,0,0,0,2,0,0,0,0,0,0,0,20,8.4,3.7,0.0,1.1
0,0,179830,0,0,-2,2,0,3,0.0,0.0,0,Grady,0.0,398,False,Joined West Bromwich Albion on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T13:30:11.839198Z,43,179830.jpg,0.0,Diangana,0.1,False,,n,19,21,0,8761,49,11500,29,0.0,0.0,Diangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,217593,0,0,-5,5,2,3,4.0,3.5,1,Pablo,4.0,399,False,,,60,217593.jpg,2.6,Fornals,0.4,False,,a,19,21,71,37983,224,74532,151,0.7,11.8,Fornals,1457,2,5,4,26,0,0,0,2,0,0,4,255,299.4,272.1,331.0,90.3
0,0,59779,0,0,0,0,0,3,0.0,0.0,0,Pedro,0.0,400,False,Joined Sassuolo on a permanent deal on 25/7,2019-07-26T12:30:08.589709Z,45,59779.jpg,0.0,Obiang,0.0,False,,u,19,21,0,1800,1,5377,3,0.0,0.0,Obiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,40694,0,0,-1,1,0,1,0.0,0.0,0,Roberto,0.0,450,False,Joined Deportivo Alaves on loan until the end of the season on 20/1. - Expected back 01 Jul,2020-01-20T12:30:21.190383Z,44,40694.jpg,2.2,Jimenez Gago,0.3,False,,n,19,21,18,66246,3,71634,60,0.0,4.1,Roberto,686,0,0,0,17,1,0,0,0,0,36,1,134,239.0,0.0,0.0,23.9
100,100,103123,0,0,-7,7,1,4,3.0,2.5,2,Sébastien,3.0,457,False,,2019-08-15T15:30:11.044189Z,68,103123.jpg,3.6,Haller,2.3,False,,a,19,21,97,672963,503,800520,368,0.4,14.3,Haller,2144,7,3,5,40,0,0,0,1,0,0,11,318,433.4,335.4,962.0,172.4
,,181008,0,0,-3,3,0,4,0.0,-0.5,0,Albian,0.0,514,False,,,57,181008.jpg,1.0,Ajeti,0.0,False,,a,19,21,8,2645,4,5305,8,0.0,1.4,Ajeti,128,0,0,0,3,0,0,0,0,0,0,0,14,5.2,22.9,46.0,7.3
100,100,19194,0,0,0,0,1,1,0.0,-0.5,0,David,0.0,553,False,,2019-12-14T20:00:18.201835Z,40,19194.jpg,4.0,Martin,1.6,False,,a,19,21,20,199548,158,101756,490,0.0,5.0,Martin,435,0,0,2,6,0,0,0,1,0,15,2,86,112.0,0.0,0.0,11.2
0,0,183487,0,0,-1,1,0,3,0.0,0.0,0,Nathan,0.0,568,False,Joined Oxford United on loan until the end of the season on 8/1. - Expected back 01 Jul,2020-01-08T13:30:13.472150Z,44,183487.jpg,1.0,Holland,0.0,False,,n,19,21,2,683,0,676,1,0.0,0.5,Holland,31,0,0,0,1,0,0,0,0,0,0,0,10,12.6,3.8,9.0,2.5
,,447879,0,0,0,0,0,1,0.0,-0.5,0,Joseph,0.0,582,False,,,40,447879.jpg,0.0,Anang,0.1,False,,a,19,21,0,13354,36,5321,58,0.0,0.0,Anang,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,232391,0,0,0,0,0,2,1.2,0.7,2,Jeremy,1.2,593,False,,,40,232391.jpg,1.5,Ngakia,0.1,False,,a,19,21,6,8500,431,1777,61,0.3,1.5,Ngakia,360,0,0,0,7,0,0,0,0,0,0,0,41,57.2,8.5,0.0,6.6
,,459373,0,0,0,0,0,2,0.0,-0.5,0,Gonçalo Bento,0.0,594,False,,,40,459373.jpg,0.0,Soares Cardoso,0.0,False,,a,19,21,0,1666,25,644,17,0.0,0.0,Cardoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,243710,0,0,0,0,0,3,0.0,-0.5,0,Bernardo,0.0,595,False,,,45,243710.jpg,0.0,Costa Da Rosa,0.0,False,,a,19,21,0,367,4,195,4,0.0,0.0,Rosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,32259,0,0,-4,4,0,1,0.0,-0.5,0,Darren,0.0,606,False,,,41,32259.jpg,1.5,Randolph,0.1,False,,a,19,21,3,19477,31,12659,64,0.0,0.7,Randolph,180,0,0,0,5,0,0,0,0,0,6,0,27,49.6,0.0,0.0,4.9
100,75,215439,0,0,-1,1,0,3,1.0,0.4,1,Tomas,1.0,616,False,,2020-02-24T22:00:20.240163Z,49,215439.jpg,1.5,Soucek,0.0,False,,a,19,21,6,1147,14,718,7,0.2,1.2,Soucek,229,0,0,0,6,0,0,0,0,0,0,0,30,55.2,13.6,45.0,11.4
,,178186,0,0,0,0,0,3,3.2,2.7,2,Jarrod,3.2,626,False,,,65,178186.jpg,3.2,Bowen,0.1,False,,a,19,21,13,11711,758,1641,99,0.5,2.0,Bowen,182,1,0,0,2,0,0,0,0,0,0,2,50,70.6,31.0,116.0,21.8
100,100,87835,0,0,2,-2,4,2,8.5,8.5,6,Matt,8.5,401,False,,2019-11-02T18:00:16.116872Z,62,87835.jpg,4.3,Doherty,7.9,False,,a,20,39,117,750903,16749,467330,848,1.4,18.9,Doherty,2147,4,5,7,26,0,0,0,1,0,0,9,416,452.0,227.2,635.0,131.6
0,0,114128,0,0,-1,1,0,2,0.0,0.0,0,Jonathan,3.0,402,False,Knock - Unknown return date,2020-02-23T18:00:15.440248Z,54,114128.jpg,2.8,Castro Otto,0.9,False,,i,20,39,74,92066,9,116347,1164,0.6,13.7,Jonny,2193,1,2,6,29,0,0,0,4,0,0,0,368,420.8,307.4,262.0,99.1
,,94147,0,0,0,0,0,2,4.8,4.8,7,Conor,4.8,403,False,,,50,94147.jpg,2.9,Coady,1.9,False,,a,20,39,83,153771,1525,132585,277,1.0,16.6,Coady,2610,0,0,8,34,0,0,0,3,0,0,6,485,429.6,67.2,0.0,49.6
100,100,90585,0,0,-2,2,0,2,5.0,5.0,8,Willy,5.0,405,False,,2019-10-26T20:00:22.175817Z,48,90585.jpg,4.6,Boly,3.2,False,,a,20,39,60,456151,2043,681720,268,1.0,12.5,Boly,1170,0,1,7,9,0,0,0,1,1,0,9,275,295.2,58.2,33.0,38.8
100,100,216054,0,0,-3,3,0,2,2.0,2.0,6,Rúben Gonçalo,2.0,406,False,,2020-01-15T22:30:19.238398Z,42,216054.jpg,1.8,Silva Nascimento Vinagre,0.2,False,,a,20,39,23,18327,498,24544,31,0.5,5.5,Vinagre,528,0,0,2,6,0,0,0,1,0,0,0,114,117.0,92.0,48.0,25.6
100,100,107613,0,0,0,0,2,2,6.5,6.5,8,Romain,6.5,407,False,,2019-11-23T17:30:21.458182Z,45,107613.jpg,2.9,Saïss,3.3,False,,a,20,39,73,315477,9513,97377,459,1.4,16.2,Saïss,1983,2,2,6,28,0,0,0,8,1,0,6,374,486.6,132.1,274.0,89.4
,,214048,0,0,0,0,0,2,0.0,0.0,0,Max,0.0,408,False,,,40,214048.jpg,1.7,Kilman,2.0,False,,a,20,39,5,142833,87,152556,306,0.0,1.2,Kilman,184,0,0,0,2,0,0,0,0,0,0,0,24,35.2,1.2,0.0,3.7
100,100,102057,0,0,5,-5,2,4,4.0,4.0,2,Raúl,4.0,409,True,,2019-11-10T16:00:17.735784Z,80,102057.jpg,5.1,Jiménez,32.3,False,,a,20,39,147,3638386,16642,2747678,5038,0.5,18.4,Jiménez,2458,13,6,9,31,0,0,0,3,0,0,23,520,723.4,560.6,1364.0,264.2
100,100,194634,0,0,-2,2,3,4,8.0,8.0,2,Diogo,8.0,410,False,,2020-01-03T16:00:15.223392Z,63,194634.jpg,3.5,Jota,9.0,False,,a,20,39,88,736500,15639,907913,2364,1.3,14.0,Jota,1758,6,3,7,24,0,0,0,3,0,0,12,290,390.0,359.5,975.0,172.6
,,38533,0,0,1,-1,0,1,6.2,6.2,6,Rui Pedro,6.2,411,False,,,51,38533.jpg,4.0,dos Santos Patrício,9.8,False,,a,20,39,116,994671,4526,741908,878,1.2,22.7,Patrício,2610,0,0,8,34,0,2,0,0,0,77,8,516,636.0,0.0,0.0,63.8
,,19236,0,0,-2,2,0,1,0.0,0.0,0,John,0.0,412,False,,,43,19236.jpg,0.0,Ruddy,0.4,False,,a,20,39,0,6802,7,21047,32,0.0,0.0,Ruddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,168399,0,0,-1,1,0,1,0.0,0.0,0,Will,0.0,413,False,Joined Ipswich Town on loan until the end of the season on 30/7. - Expected back 01 Jul,2019-07-30T15:30:08.533720Z,39,168399.jpg,0.0,Norris,0.6,False,,n,20,39,0,31390,242,43467,158,0.0,0.0,Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,171317,0,0,-3,3,1,3,2.5,2.5,3,Rúben Diogo,2.5,414,False,,2019-10-19T19:00:18.633381Z,52,171317.jpg,2.4,da Silva Neves,4.5,False,,a,20,39,71,360710,776,619432,502,0.5,13.7,Neves,2275,2,1,8,29,0,0,0,7,0,0,4,372,397.4,307.4,229.0,93.7
,,19624,0,0,-1,1,0,3,2.2,2.2,3,João Filipe Iria,2.2,415,False,,,54,19624.jpg,3.2,Santos Moutinho,5.2,False,,a,20,39,94,601564,1801,695911,1412,0.4,17.4,Moutinho,2434,1,7,7,32,0,0,0,5,0,0,11,508,614.6,982.3,110.0,171.1
0,0,222531,0,0,-3,3,0,3,0.0,0.0,0,Morgan,0.0,416,False,Ankle injury - Unknown return date,2020-03-06T16:30:24.687750Z,47,222531.jpg,2.0,Gibbs-White,0.1,False,,i,20,39,8,3016,0,7407,28,0.0,1.7,Gibbs-White,122,0,1,0,2,0,0,0,0,0,0,0,31,6.2,43.5,12.0,6.2
100,100,159533,0,0,8,-8,4,3,1.2,1.2,1,Adama,1.2,417,False,,2020-03-01T17:30:18.944791Z,58,159533.jpg,3.9,Traoré,17.3,False,,a,20,39,108,2524854,5678,1355598,13243,0.2,18.6,Traoré,2068,4,7,4,30,0,0,0,0,0,0,14,460,613.2,611.7,496.0,172.2
0,0,165808,0,0,-1,1,0,3,0.0,0.0,0,Hélder,0.0,418,False,Joined Leeds United on loan until the end of the season on 3/7. - Expected back 01 Jul,2019-07-03T13:00:11.133915Z,49,165808.jpg,0.0,Costa,0.0,False,,n,20,39,0,917,3,1886,3,0.0,0.0,Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,166324,0,0,-1,1,0,3,0.0,0.0,0,Ivan,0.0,419,False,Joined Fulham on a permanent deal on 7/1,2019-07-14T15:00:13.027011Z,49,166324.jpg,0.0,Cavaleiro,0.0,False,,u,20,39,0,719,2,1105,0,0.0,0.0,Cavaleiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,151589,0,0,-1,1,2,3,2.0,2.0,3,Leander,2.0,420,False,,2019-10-11T10:00:13.063158Z,44,151589.jpg,2.4,Dendoncker,9.2,False,,a,20,39,70,980684,1804,1270228,1951,0.5,15.9,Dendoncker,2279,2,0,7,29,1,0,0,4,0,0,6,331,419.2,128.3,204.0,75.1
0,0,178876,0,0,-4,4,0,2,0.0,0.0,0,Jesús,0.0,473,False,Loan deal ended on 24/1,2020-01-24T13:00:17.740017Z,46,178876.jpg,0.5,Vallejo Lázaro,0.2,False,,u,20,39,1,5427,1,24116,19,0.0,0.2,Vallejo,162,0,0,0,6,0,0,0,1,0,0,0,22,35.6,7.0,0.0,4.3
0,0,209353,0,0,-5,5,0,4,0.0,0.0,0,Patrick,0.0,487,False,Joined Fiorentina on an 18-month loan deal on 10/1. - Expected back 01 Jul,2020-01-10T20:00:21.473387Z,55,209353.jpg,1.9,Cutrone,0.5,False,,n,20,39,23,26321,1,94269,31,0.0,4.2,Cutrone,292,2,0,1,6,0,0,0,0,0,0,0,69,85.2,35.6,155.0,27.5
100,100,247632,0,0,0,0,0,3,1.2,1.2,0,Pedro,1.2,528,False,,2019-11-15T13:30:15.206140Z,50,247632.jpg,2.0,Lomba Neto,0.2,False,,a,20,39,42,29088,101,18897,316,0.2,8.4,Neto,722,2,2,1,8,0,0,0,2,0,0,0,134,159.4,182.6,198.0,53.9
0,0,194798,0,0,0,0,0,4,0.0,0.0,0,Bernard,0.0,559,False,Joined Accrington Stanley on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T23:30:17.691342Z,45,194798.jpg,0.0,Ashley-Seal,0.0,False,,n,20,39,0,6477,5,5825,16,0.0,0.0,Ashley-Seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,232361,0,0,0,0,0,3,0.0,0.0,0,Taylor,0.0,560,False,,,45,232361.jpg,0.0,Perry,0.0,False,,a,20,39,0,2383,3,1897,9,0.0,0.0,Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,250604,0,0,0,0,0,3,0.0,0.0,0,Owen,0.0,566,False,,,45,250604.jpg,0.0,Otasowie,0.0,False,,a,20,39,0,476,2,408,3,0.0,0.0,Otasowie,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,245923,0,0,0,0,0,3,0.0,0.0,0,Luke,0.0,567,False,,,45,245923.jpg,0.0,Cundle,0.0,False,,a,20,39,0,1663,4,1171,8,0.0,0.0,Cundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,179456,0,0,0,0,0,2,0.0,0.0,0,Oskar,0.0,587,False,,,40,179456.jpg,0.0,Buur,0.1,False,,a,20,39,0,5148,84,2130,46,0.0,0.0,Buur,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
